Company,Abbr,Default Currency,Country
"Paicho Pasal Pvt Ltd., Headoffice",PPPLHO,NPR,Nepal
"Paicho Pasal Pvt  Ltd., Baletaksar",PPPLBTX,NPR,Nepal
"Paicho Pasal Pvt Ltd., Hunga",PPPLHG,NPR,Nepal
"Paicho Pachal Pvt Ltd., Factory ",PPPLFT,NPR,Nepal
"Paicho Pasal Pvt Ltd., Horizon Chowk",PPPLHC,NPR,Nepal
"Paicho Pasal Pvt Ltd., Khaireni",PPPLKR,NPR,Nepal
"Paicho Pasal Pvt Ltd., Manigram Branch",PPPLMB,NPR,Nepal
"Paicho Pasal Pvt Ltd., Tansen",PPPLTN,NPR,Nepal
"Paicho Pasal Pvt Ltd., Argali",PPPLAG,NPR,Nepal
"Paicho Pasal Pvt Ltd., Ridi",PPPLRD,NPR,Nepal
"Paicho Pasal Pvt Ltd., Digam",PPPLDG,NPR,Nepal
"Paicho Pasal Pvt ltd., Tamghas",PPPLTG,NPR,Nepal
"Paicho Pasal Pvt Ltd., Butwal ",PPPLBTL,NPR,Nepal
"Paicho Pasal Pvt. Ltd., Agro Vet",PPPLAV,NPR,Nepal
"Paicho Pasal Pvt. Ltd., Dadapokhari",PPPLDP,NPR,Nepal
