ID,Item Code,Item Group,Price List,Rate,Item Name
1,BTXV-02,Baletaksar Vegetable,Standard Buying,80,Cauli
2,BTXV-22,Baletaksar Vegetable,Standard Buying,60,Brocauli
3,BTXV-01,Baletaksar Vegetable,Standard Buying,40,Tamatar Tannel
4,BTXV-23,Baletaksar Vegetable,Standard Buying,35,Tamatar khulla
5,BTXV-24,Baletaksar Vegetable,Standard Buying,10,Tamatar B
6,BTXV-26,Baletaksar Vegetable,Standard Buying,10,Bogo
7,BTXV-298,Baletaksar Vegetable,Standard Buying,25,Kera Hariyo
8,BTXV-03,Baletaksar Vegetable,Standard Buying,35,Banda
9,BTXG-194,Baletaksar Vegetable,Standard Buying,30,Simla
10,BTXV-294,Baletaksar Vegetable,Standard Buying,75,Simi Italy
11,BTXV-28,Baletaksar Vegetable,Standard Buying,70,Simi Chaumase
12,BTXV-29,Baletaksar Vegetable,Standard Buying,80,Aakabare Khursani Pakeko Rato
13,BTXV-195,Baletaksar Vegetable,Standard Buying,25,Tite Karela
14,BTXV-30,Baletaksar Vegetable,Standard Buying,120,Marauti
15,BTXV-31,Baletaksar Vegetable,Standard Buying,80,Bhakimlo
16,BTXG-200,Baletaksar Vegetable,Standard Buying,40,Khursani Hariyo
17,BTV-306,Baletaksar Vegetable,Standard Buying,25,Saag Rayo
18,BTXV-282,Baletaksar Vegetable,Standard Buying,40,Dhaniya Hariyo
19,BTXV-32,Baletaksar Vegetable,Standard Buying,45,Dhaniya Kade
20,BTXV-33,Baletaksar Vegetable,Standard Buying,110,Kagati Local
21,BTXV-34,Baletaksar Vegetable,Standard Buying,130,Samfo Dana
22,BTXV-197,Baletaksar Vegetable,Standard Buying,10,Mula
23,BTXV-287,Baletaksar Vegetable,Standard Buying,35,Mula Grimbo
24,BTXV-38,Baletaksar Vegetable,Standard Buying,40,Mula (Rato)
25,BTXG-196,Baletaksar Vegetable,Standard Buying,70,Gajar
26,BTXV-35,Baletaksar Vegetable,Standard Buying,10,Gajar B
27,BTXV-222,Baletaksar Vegetable,Standard Buying,40,Tite Bhanta
28,BTXV-25,Baletaksar Vegetable,Standard Buying,80,Amrisho Thuteko
29,BTXV-284,Baletaksar Vegetable,Standard Buying,15,Bhanta
30,BTXV-2,Baletaksar Vegetable,Standard Buying,20,Mewa Pakeko
31,BTXV-40,Baletaksar Vegetable,Standard Buying,160,Besar Chana Sukeko
32,BTXV-666,Baletaksar Vegetable,Standard Buying,80,Lasun (Local)
33,BTXV-678,Baletaksar Vegetable,Standard Buying,35,Pyaj (local)
34,BTXG-199,Baletaksar Vegetable,Standard Buying,40,Aduwa
35,BTXV-697,Baletaksar Vegetable,Standard Buying,20,Kagati (Thulo)
36,BTXV-233,Baletaksar Vegetable,Standard Buying,20,Pudina
37,BTXV-668,Baletaksar Vegetable,Standard Buying,20,Kakra Khira
38,BTXV-283,Baletaksar Vegetable,Standard Buying,50,Kakra Local
39,BTXV-669,Baletaksar Vegetable,Standard Buying,40,Bodi Lamo 
40,BTXV-670,Baletaksar Vegetable,Standard Buying,65,Bodi Choto
41,BTXV-672,Baletaksar Vegetable,Standard Buying,25,Farshi Phaelo
42,BTXV-703,Baletaksar Vegetable,Standard Buying,50,Parbal
43,BTXV-671,Baletaksar Vegetable,Standard Buying,50,Makai
44,BTXV-236,Baletaksar Vegetable,Standard Buying,30,Saag  Pakchoe
45,BTV-285,Baletaksar Vegetable,Standard Buying,40, Ram Veda
46,BTXG-191,Baletaksar Vegetable,Standard Buying,55,Simi Hiude
47,BTXG-201,Baletaksar Vegetable,Standard Buying,40,Aalu Local
48,BTXV-696,Baletaksar Vegetable,Standard Buying,110,Gilangi Dana
49,BTXV-698,Baletaksar Vegetable,Standard Buying,150,Bhata Dana
50,BTXV-699,Baletaksar Vegetable,Standard Buying,110,Gahat Dana
51,BTXV-700,Baletaksar Vegetable,Standard Buying,105,Rajma Dana
52,BTXV-701,Baletaksar Vegetable,Standard Buying,135,Simi Dana
53,BTXV-702,Baletaksar Vegetable,Standard Buying,300,Sillam
54,BTXV-230,Baletaksar Vegetable,Standard Buying,60,Aakabare Khursani (Hariyo)
55,BTXV-704,Baletaksar Vegetable,Standard Buying,40,Ban Tarul
56,BTXV-705,Baletaksar Vegetable,Standard Buying,20,Vutuk
57,BTXV-706,Baletaksar Vegetable,Standard Buying,60,Imali
58,BTXV-708,Baletaksar Vegetable,Standard Buying,140,Masuro Dana
59,BTXV-606,Baletaksar Vegetable,Standard Buying,105,Chana Dana
60,BTXV-709,Baletaksar Vegetable,Standard Buying,120,Kerau Dana
61,BTXV-710,Baletaksar Vegetable,Standard Buying,800,Aakbare Khursani Sukeko
62,BTXV-489,Baletaksar Vegetable,Standard Buying,60,Niuro
63,BTXV-610,Baletaksar Vegetable,Standard Buying,70,Daudy
64,BTXV-478,Baletaksar Vegetable,Standard Buying,15,Farshi Munta
65,BTXG-190,Baletaksar Vegetable,Standard Buying,20,Lauka
66,BTXV-711,Baletaksar Vegetable,Standard Buying,25,Bhindi
67,BTXV-715,Baletaksar Vegetable,Standard Buying,20,Ghirula
68,BTXV-555,Baletaksar Vegetable,Standard Buying,10,Kahatar
69,BTXV-556,Baletaksar Vegetable,Standard Buying,350,Kurilo
70,BTXV-488,Baletaksar Vegetable,Standard Buying,10,Aaru Pokhara
71,BTXV-688,Baletaksar Vegetable,Standard Buying,10,Iskus 
